id,cost
360336,114.70466
360337,95.77499
360338,86.742645
360339,95.57634
360340,65.69617
360341,103.52678
360342,105.21684
360343,91.17087
360344,88.20488
360345,96.85396
360346,108.98157
360347,89.10373
360348,81.69823
360349,87.16031
360350,87.89662
360351,95.82274
360352,96.90454
360353,61.112892
360354,87.62645
360355,128.16998
360356,128.47438
360357,112.90492
360358,76.593315
360359,66.98277
360360,75.73383
360361,74.44473
360362,107.73934
360363,99.18151
360364,91.15701
360365,78.11508
360366,86.477615
360367,90.91118
360368,96.02179
360369,99.001114
360370,95.51572
360371,107.450516
360372,62.63526
360373,128.91252
360374,92.5865
360375,96.45568
360376,107.98518
360377,120.14315
360378,115.64642
360379,87.41515
360380,117.28737
360381,98.03514
360382,95.705475
360383,87.52576
360384,72.674515
360385,109.87276
360386,111.80675
360387,94.49155
360388,111.9349
360389,121.263794
360390,89.865486
360391,96.17117
360392,111.7208
360393,88.67698
360394,107.923935
360395,94.25951
360396,119.80781
360397,106.47612
360398,84.69377
360399,84.80274
360400,106.27045
360401,90.64549
360402,107.8473
360403,90.474396
360404,85.86923
360405,123.32683
360406,100.79561
360407,87.17171
360408,95.9786
360409,79.76822
360410,99.48408
360411,97.2424
360412,89.21507
360413,85.627525
360414,93.1149
360415,92.953
360416,121.734024
360417,92.64011
360418,97.230576
360419,99.6469
360420,93.25928
360421,115.702484
360422,108.618095
360423,94.98061
360424,111.45354
360425,107.56581
360426,98.41404
360427,89.332756
360428,83.07293
360429,96.08421
360430,75.29187
360431,106.64719
360432,99.14466
360433,118.22435
360434,95.664024
360435,105.38193
360436,97.01698
360437,103.11168
360438,106.355194
360439,63.235565
360440,89.85973
360441,72.300964
360442,109.34622
360443,105.366516
360444,118.06962
360445,95.28151
360446,77.30281
360447,87.83975
360448,98.72827
360449,64.78796
360450,90.727715
360451,86.848785
360452,88.477974
360453,124.33557
360454,140.46252
360455,92.30562
360456,88.889694
360457,108.36591
360458,91.94307
360459,96.52256
360460,90.17642
360461,83.45682
360462,85.50449
360463,90.161415
360464,108.02841
360465,116.72033
360466,83.19951
360467,85.562294
360468,121.361336
360469,89.769455
360470,76.229225
360471,106.037315
360472,107.30769
360473,114.525635
360474,99.55167
360475,114.36133
360476,72.990234
360477,141.15671
360478,111.608574
360479,98.9292
360480,86.90892
360481,110.18428
360482,106.29446
360483,125.04491
360484,107.07243
360485,126.4153
360486,107.304
360487,100.59567
360488,94.70422
360489,104.9436
360490,98.84999
360491,118.70903
360492,94.40744
360493,95.550644
360494,78.94911
360495,106.69414
360496,88.0222
360497,94.427864
360498,131.55692
360499,101.50368
360500,84.74085
360501,108.88739
360502,107.23557
360503,67.585236
360504,108.68567
360505,89.15109
360506,114.64166
360507,95.7805
360508,94.856415
360509,99.19828
360510,57.932518
360511,69.67958
360512,85.80374
360513,108.632416
360514,115.71045
360515,101.25392
360516,139.38043
360517,84.8594
360518,85.370224
360519,102.973816
360520,97.99928
360521,93.66989
360522,103.416534
360523,67.60118
360524,91.84415
360525,112.5848
360526,84.0208
360527,95.162796
360528,88.16933
360529,98.10968
360530,94.46269
360531,121.94578
360532,82.34612
360533,91.22359
360534,108.34479
360535,131.52435
360536,100.171684
360537,104.0088
360538,79.099
360539,85.88797
360540,100.40192
360541,131.97768
360542,102.9818
360543,121.60157
360544,101.97191
360545,94.96246
360546,102.89284
360547,128.53586
360548,103.98746
360549,83.48459
360550,94.73339
360551,90.861885
360552,98.01128
360553,96.482864
360554,103.89487
360555,121.00764
360556,97.64506
360557,93.62232
360558,100.36503
360559,105.67033
360560,114.4444
360561,116.11365
360562,87.25453
360563,111.23212
360564,103.11786
360565,96.16555
360566,102.5789
360567,99.25423
360568,99.52209
360569,121.216705
